 public       | adrese             | id                   | uuid                     | NO          | gen_random_uuid()
 public       | adrese             | ulica                | character varying        | NO          | 
 public       | adrese             | broj                 | character varying        | YES         | 
 public       | adrese             | grad                 | character varying        | NO          | 
 public       | adrese             | postanski_broj       | character varying        | YES         | 
 public       | adrese             | koordinate           | point                    | YES         | 
 public       | adrese             | created_at           | timestamp with time zone | YES         | now()
 public       | dnevni_putnici     | id                   | uuid                     | NO          | gen_random_uuid()
 public       | dnevni_putnici     | ime                  | character varying        | NO          | 
 public       | dnevni_putnici     | polazak              | character varying        | NO          | 
 public       | dnevni_putnici     | pokupljen            | boolean                  | YES         | false
 public       | dnevni_putnici     | vreme_dodavanja      | timestamp with time zone | YES         | now()
 public       | dnevni_putnici     | mesecna_karta        | boolean                  | YES         | false
 public       | dnevni_putnici     | dan                  | character varying        | NO          | 
 public       | dnevni_putnici     | status               | character varying        | YES         | 
 public       | dnevni_putnici     | status_vreme         | timestamp with time zone | YES         | 
 public       | dnevni_putnici     | vreme_pokupljenja    | timestamp with time zone | YES         | 
 public       | dnevni_putnici     | vreme_placanja       | timestamp with time zone | YES         | 
 public       | dnevni_putnici     | placeno              | boolean                  | YES         | false
 public       | dnevni_putnici     | iznos_placanja       | numeric                  | YES         | 
 public       | dnevni_putnici     | naplatio_vozac_id    | uuid                     | YES         | 
 public       | dnevni_putnici     | pokupio_vozac_id     | uuid                     | YES         | 
 public       | dnevni_putnici     | dodao_vozac_id       | uuid                     | YES         | 
 public       | dnevni_putnici     | vozac_id             | uuid                     | YES         | 
 public       | dnevni_putnici     | grad                 | character varying        | NO          | 
 public       | dnevni_putnici     | otkazao_vozac_id     | uuid                     | YES         | 
 public       | dnevni_putnici     | vreme_otkazivanja    | timestamp with time zone | YES         | 
 public       | dnevni_putnici     | adresa               | text                     | YES         | 
 public       | dnevni_putnici     | obrisan              | boolean                  | YES         | false
 public       | dnevni_putnici     | priority             | integer                  | YES         | 
 public       | dnevni_putnici     | broj_telefona        | character varying        | YES         | 
 public       | dnevni_putnici     | datum                | date                     | NO          | 
 public       | dnevni_putnici     | ruta_id              | uuid                     | YES         | 
 public       | dnevni_putnici     | vozilo_id            | uuid                     | YES         | 
 public       | dnevni_putnici     | adresa_id            | uuid                     | YES         | 
 public       | dnevni_putnici     | created_at           | timestamp with time zone | YES         | now()
 public       | dnevni_putnici     | updated_at           | timestamp with time zone | YES         | now()
 public       | dnevni_putnici     | broj_mesta           | integer                  | YES         | 1
 public       | gps_lokacije       | id                   | uuid                     | NO          | gen_random_uuid()
 public       | gps_lokacije       | vozac_id             | uuid                     | YES         | 
 public       | gps_lokacije       | vozilo_id            | uuid                     | YES         | 
 public       | gps_lokacije       | latitude             | numeric                  | NO          | 
 public       | gps_lokacije       | longitude            | numeric                  | NO          | 
 public       | gps_lokacije       | brzina               | numeric                  | YES         | 
 public       | gps_lokacije       | pravac               | numeric                  | YES         | 
 public       | gps_lokacije       | tacnost              | numeric                  | YES         | 
 public       | gps_lokacije       | vreme                | timestamp with time zone | YES         | now()
 public       | mesecni_putnici    | id                   | uuid                     | NO          | gen_random_uuid()
 public       | mesecni_putnici    | putnik_ime           | character varying        | NO          | 
 public       | mesecni_putnici    | tip                  | character varying        | NO          | 
 public       | mesecni_putnici    | tip_skole            | character varying        | YES         | 
 public       | mesecni_putnici    | broj_telefona        | character varying        | YES         | 
 public       | mesecni_putnici    | polasci_po_danu      | jsonb                    | NO          | 
 public       | mesecni_putnici    | tip_prikazivanja     | character varying        | YES         | 'standard'::character varying
 public       | mesecni_putnici    | radni_dani           | character varying        | YES         | 
 public       | mesecni_putnici    | aktivan              | boolean                  | YES         | true
 public       | mesecni_putnici    | status               | character varying        | YES         | 'aktivan'::character varying
